                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.4957,                 4.2107,                 4.2444,                      0,                      0,                      0,                      0,                 4.5591,                 4.0107,                  4.159,                  2e-05,                  2e-05,                  2e-05
                      2,                 4.8356,                 4.2443,                 4.2629,                      0,                      0,                      0,                      0,                 4.5599,                 4.0107,                 4.1591,             5.9406e-05,             5.9406e-05,             5.9406e-05
                      3,                 4.7057,                 4.2391,                 4.2731,                      0,                      0,                      0,                      0,                 4.5606,                 4.0111,                  4.159,              9.802e-05,              9.802e-05,              9.802e-05
                      4,                 4.7271,                  4.221,                  4.235,                      0,                      0,                      0,                      0,                 4.5614,                 4.0123,                 4.1589,             0.00013584,             0.00013584,             0.00013584
                      5,                 4.8518,                 4.1593,                 4.2661,                      0,                      0,                      0,                      0,                 4.5626,                 4.0144,                 4.1588,             0.00017287,             0.00017287,             0.00017287
                      6,                 4.5795,                 4.0156,                 4.2267,                      0,                      0,                      0,                      0,                 4.5642,                 4.0167,                 4.1587,             0.00020911,             0.00020911,             0.00020911
                      7,                 4.2607,                  3.929,                 4.2484,                      0,                      0,                      0,                      0,                 4.5662,                 4.0193,                 4.1586,             0.00024456,             0.00024456,             0.00024456
                      8,                 3.9574,                 3.6905,                 4.2732,                      0,                      0,                      0,                      0,                 4.5684,                 4.0221,                 4.1587,             0.00027921,             0.00027921,             0.00027921
                      9,                  4.331,                 3.6879,                 4.2272,                      0,                      0,                      0,                      0,                 4.5697,                 4.0234,                 4.1589,             0.00031307,             0.00031307,             0.00031307
                     10,                 4.0188,                 3.4603,                 4.1969,                      0,                      0,                      0,                      0,                 4.5721,                 4.0261,                 4.1595,             0.00034614,             0.00034614,             0.00034614
                     11,                 4.2125,                 3.3507,                 4.1304,                      0,                      0,                      0,                      0,                 4.5747,                  4.029,                 4.1602,             0.00037842,             0.00037842,             0.00037842
                     12,                 4.1149,                 3.3175,                 4.0749,                      0,                      0,                      0,                      0,                 4.5772,                 4.0318,                 4.1611,             0.00040991,             0.00040991,             0.00040991
                     13,                 3.9317,                 3.3491,                 4.0427,                      0,                      0,                      0,                      0,                 4.5803,                 4.0359,                 4.1623,              0.0004406,              0.0004406,              0.0004406
                     14,                 3.8386,                 3.3199,                 4.0365,                      0,                      0,                      0,                      0,                 4.5837,                 4.0403,                 4.1639,              0.0004705,              0.0004705,              0.0004705
                     15,                 3.8284,                 3.2031,                 3.9514,                      0,                      0,                      0,                      0,                 4.5873,                 4.0432,                 4.1659,             0.00049961,             0.00049961,             0.00049961
                     16,                 3.7103,                 3.2502,                 3.9284,                      0,                      0,                      0,                      0,                 4.5907,                 4.0426,                 4.1681,             0.00052793,             0.00052793,             0.00052793
                     17,                 3.6189,                 3.0783,                 3.9038,                      0,                      0,                      0,                      0,                 4.5985,                 4.0483,                 4.1735,             0.00055546,             0.00055546,             0.00055546
                     18,                 3.3562,                 2.8898,                 3.7937,                      0,                      0,                      0,                      0,                 4.6074,                 4.0577,                 4.1807,             0.00058219,             0.00058219,             0.00058219
                     19,                 3.4326,                 3.0076,                 3.7351,                      0,                      0,                      0,                      0,                 4.6113,                 4.0584,                  4.185,             0.00060813,             0.00060813,             0.00060813
                     20,                 3.0404,                 2.8928,                 3.7244,                      0,                      0,                      0,                      0,                  4.609,                 4.0461,                 4.1847,             0.00063328,             0.00063328,             0.00063328
                     21,                 3.0783,                 2.8247,                 3.6654,                      0,                      0,                      0,                      0,                 4.6079,                 4.0353,                 4.1854,             0.00065764,             0.00065764,             0.00065764
                     22,                 3.2698,                 2.9231,                 3.6477,                      0,                      0,                      0,                      0,                  4.607,                 4.0249,                 4.1866,             0.00068121,             0.00068121,             0.00068121
                     23,                 3.3083,                  2.827,                 3.3553,                      0,                      0,                      0,                      0,                  4.614,                 4.0212,                  4.194,             0.00070398,             0.00070398,             0.00070398
                     24,                 2.8349,                 2.5918,                 3.4004,                      0,                      0,                      0,                      0,                 4.6355,                 4.0288,                 4.2143,             0.00072596,             0.00072596,             0.00072596
                     25,                 3.0842,                 2.6031,                 3.2507,                      0,                      0,                      0,                      0,                 4.6598,                 4.0333,                 4.2386,             0.00074715,             0.00074715,             0.00074715
                     26,                 2.8935,                 2.5036,                 3.1879,                      0,                      0,                      0,                      0,                 4.6708,                 4.0174,                 4.2524,             0.00076755,             0.00076755,             0.00076755
